datetime;WR;;;;;;;;;;
01/01/1979;2;;WR NR;Count;Label;Percentage;Avg. Lengt;;Avg.  Length;Perc. SF;Label
02/01/1979;2;;0;772;SB-;15,9;3,57;;3,7;16,1;SB-
03/01/1979;2;;1;783;AR+;16,1;3,48;;3,5;15,6;AR+
04/01/1979;2;;2;833;NAO-;17,2;3,91;;6,5;15,5;NAO-
05/01/1979;2;;3;721;SB+;14,9;6,16;;4;19,6;SB+
06/01/1979;2;;4;939;NAO+;19,4;4,1;;4;16,9;NAO+
07/01/1979;2;;5;802;AR-;16,5;4,61;;4,7;16,3;AR-
08/01/1979;2;;Totaal;4850;;;;;;;
09/01/1979;5;;;;;;;;;;
10/01/1979;5;;;;;;;;;;
11/01/1979;5;;;;;;;;;;
12/01/1979;5;;;;;;;;;;
13/01/1979;5;;;;;;;;;;
14/01/1979;5;;;;;;;;;;
15/01/1979;5;;;;;;;;;;
16/01/1979;5;;;;;;;;;;
17/01/1979;5;;;;;;;;;;
18/01/1979;1;;;;;;;;;;
19/01/1979;1;;;;;;;;;;
20/01/1979;1;;;;;;;;;;
21/01/1979;4;;;;;;;;;;
22/01/1979;0;;;;;;;;;;
23/01/1979;0;;;;;;;;;;
24/01/1979;0;;;;;;;;;;
25/01/1979;0;;;;;;;;;;
26/01/1979;0;;;;;;;;;;
27/01/1979;0;;;;;;;;;;
28/01/1979;0;;;;;;;;;;
29/01/1979;3;;;;;;;;;;
30/01/1979;3;;;;;;;;;;
31/01/1979;3;;;;;;;;;;
01/02/1979;3;;;;;;;;;;
02/02/1979;1;;;;;;;;;;
03/02/1979;1;;;;;;;;;;
04/02/1979;5;;;;;;;;;;
05/02/1979;5;;;;;;;;;;
06/02/1979;5;;;;;;;;;;
07/02/1979;4;;;;;;;;;;
08/02/1979;4;;;;;;;;;;
09/02/1979;4;;;;;;;;;;
10/02/1979;4;;;;;;;;;;
11/02/1979;4;;;;;;;;;;
12/02/1979;4;;;;;;;;;;
13/02/1979;1;;;;;;;;;;
14/02/1979;1;;;;;;;;;;
15/02/1979;1;;;;;;;;;;
16/02/1979;1;;;;;;;;;;
17/02/1979;0;;;;;;;;;;
18/02/1979;0;;;;;;;;;;
19/02/1979;0;;;;;;;;;;
