,WR
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,1
18,1
19,1
20,4
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,3
29,3
30,3
31,3
32,1
33,1
34,5
35,5
36,5
37,4
38,4
39,4
40,4
41,4
42,4
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,5
51,5
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,4
77,5
78,5
79,5
80,4
81,4
82,2
83,4
84,4
85,4
86,4
87,4
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,2
96,2
97,5
98,2
99,2
100,2
101,2
102,2
103,1
104,4
105,4
106,4
107,4
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,1
123,1
124,1
125,1
126,3
127,3
128,3
129,3
130,1
131,2
132,2
133,5
134,2
135,5
136,5
137,1
138,2
139,2
140,2
141,5
142,5
143,2
144,2
145,2
146,2
147,1
148,1
149,2
150,2
151,2
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,1
174,4
175,4
176,1
177,1
178,1
179,4
180,4
181,4
182,1
183,4
184,4
185,2
186,0
187,1
188,1
189,2
190,2
191,2
192,2
193,1
194,0
195,0
196,1
197,4
198,2
199,2
200,4
201,4
202,4
203,4
204,0
205,0
206,0
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,5
223,5
224,5
225,5
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,5
238,5
239,5
240,4
241,4
242,4
243,1
244,1
245,1
246,1
247,1
248,1
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,5
257,0
258,0
259,0
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,1
280,3
281,3
282,3
283,3
284,5
285,1
286,2
287,2
288,2
289,5
290,5
291,5
292,4
293,4
294,4
295,4
296,3
297,3
298,1
299,1
300,1
301,1
302,1
303,1
304,2
305,2
306,4
307,4
308,4
309,4
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,5
318,5
319,5
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,0
328,0
329,5
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,0
345,0
346,0
347,5
348,3
349,3
350,3
351,3
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,1
361,1
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,0
370,0
371,0
372,5
373,5
374,5
375,5
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,1
387,0
388,0
389,2
390,2
391,2
392,4
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,4
417,4
418,2
419,2
420,2
421,2
422,2
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,4
440,4
441,4
442,4
443,4
444,1
445,1
446,3
447,4
448,4
449,4
450,4
451,4
452,2
453,2
454,4
455,2
456,2
457,0
458,1
459,0
460,0
461,0
462,0
463,3
464,3
465,0
466,0
467,0
468,0
469,0
470,4
471,2
472,0
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,3
485,4
486,4
487,4
488,4
489,4
490,1
491,1
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,5
501,5
502,5
503,5
504,5
505,5
506,3
507,3
508,5
509,5
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,0
519,2
520,2
521,2
522,1
523,1
524,1
525,2
526,2
527,2
528,2
529,0
530,5
531,5
532,5
533,5
534,5
535,5
536,2
537,5
538,5
539,5
540,5
541,5
542,5
543,2
544,5
545,5
546,5
